_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
2293,1977401,16029047,20,F,A,2016-10-24T14:15:00,"900 Block 2nd AV Pittsburgh, PA 15219",3925 Receiving Stolen Property.,"6100 Block ST MARIE ST Pittsburgh, PA 15206",Highland Park,5,1106,9,2,-79.91914864,40.46815616
1612,1976497,16185134,46,F,A,2016-10-06T16:05:00,"600 Block 1st AV Pittsburgh, PA 15219",3304 Criminal Mischief. / 2709 Harassment (Non-Specific),"2200 Block Federal EXT Pittsburgh, PA 15214",Perry South,1,2614,6,1,-80.0101167,40.46510259
3301,1978743,16220116,25,F,A,2016-11-23T12:06:00,"5100 Block Penn AV Pittsburgh, PA 15224",3922 Theft by Deception. / 3929 Retail Theft.,"5100 Block Penn AV Pittsburgh, PA 15224",Bloomfield,5,809,7,2,-79.94273394,40.46477482
6255,1982424,16220116,25,F,A,2017-03-11T02:04:00,"3800 Block Brighton RD Pittsburgh, PA 15212",9015 Failure To Appear/Arrest on Attachment Order,"5100 Block Penn AV Pittsburgh, PA 15224",Bloomfield,5,809,7,2,-79.94273394,40.46477482
6428,1982637,17044107,25,F,A,2017-03-11T02:04:00,"3800 Block Brighton RD Pittsburgh, PA 15212",5503 Disorderly Conduct. / 5505 Public Drunkenness,"3800 Block Brighton RD Pittsburgh, PA 15212",Brighton Heights,1,2701,1,1,-80.03569278,40.48455007
2671,1977930,16209933,62,F,A,2016-11-07T09:00:00,"Hazelwood AV & Theodolite WY Pittsburgh, PA 15217","3301 Arson  / 3302 Causing or Risking Catastrophe. / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means","700 Block Hazelwood AV Pittsburgh, PA 15217",Greenfield,4,1517,5,3,-79.93304793,40.41974508
938,1975639,16165531,50,F,A,2016-09-14T19:00:00,"2500 Block Library RD Pittsburgh, PA 15234",903 Criminal Conspiracy. / 5902(a)(1) Prostitution ,"1200 Block Western AV Pittsburgh, PA 15233",Chateau,1,2108,6,1,-80.02196514,40.45120975
6812,1983084,17042906,17,F,A,2017-03-09T10:00:00,"600 Block 1ST AV PITTSBURGH, PA 15219",13(a)(31) Marijuana: Possession Small Amount,"1100 Block N MURTLAND ST PITTSBURGH, PA 15208",Homewood West,5,1207,9,2,-79.90014173,40.46041084
1129,1975894,16168266,52,F,A,2016-09-06T18:40:00,"1100 Block Banksville RD Pittsburgh, PA 15216",907 Possessing Instruments of Crime. / 5902(a)(1) Prostitution ,"1100 Block Banksville RD Pittsburgh, PA 15216",Banksville,6,2023,2,5,-80.03026807,40.41991044
1176,1975959,16174116,69,F,A,2016-09-14T19:00:00,"2500 Block Library RD Pittsburgh, PA 15234",903 Criminal Conspiracy. / 5902(b)(1) Promoting Prostitution - Keeping Business or House,"2500 Block Library RD Pittsburgh, PA 15234",Overbrook,3,3207,4,4,-79.99611824,40.38224159
1175,1975958,16174116,0,F,A,2016-09-14T19:00:00,"2500 Block Library RD Pittsburgh, PA 15234",903 Criminal Conspiracy. / 5902(a)(1) Prostitution ,"2500 Block Library RD Pittsburgh, PA 15234",Overbrook,3,3207,4,4,-79.99611824,40.38224159
939,1975640,16165531,69,F,A,2016-09-14T19:00:00,"1200 Block Western AV Pittsburgh, PA 15233",903 Criminal Conspiracy. / 5902(b) Promoting Prostitution,"1200 Block Western AV Pittsburgh, PA 15233",Chateau,1,2108,6,1,-80.02196514,40.45120975
940,1975641,16165531,51,F,A,2016-09-14T19:00:00,"2500 Block Library RD Pittsburgh, PA 15234",903 Criminal Conspiracy. / 5902(a)(1) Prostitution ,"1200 Block Western AV Pittsburgh, PA 15233",Chateau,1,2108,6,1,-80.02196514,40.45120975
