_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
1,1975272,16158872,42,F,B,2016-08-24T12:20:00,"4700 Block Centre AV Pittsburgh, PA 15213",3929 Retail Theft.,"4700 Block Centre AV Pittsburgh, PA 15213",Bloomfield,5,804,8,2,-79.94927741,40.45255125
1518,1976390,16172339,14,F,B,2016-10-03T13:22:00,"600 Block 1ST AV PITTSBURGH, PA 15219",912 Possession of Weapon on School Property.,"3800 Block PERRYSVILLE AV PITTSBURGH, PA 15214",Perry North,1,2602,1,1,-80.01602089,40.48755132
5506,1981479,17026116,21,F,B,2017-02-11T20:00:00,"Watson ST & Pride ST Pittsburgh, PA 15219",2701 Simple Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 5505 Public Drunkenness,"Watson ST & Pride ST Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.98508492,40.43811425
6031,1982120,17022754,12,F,B,2017-02-21T12:20:00,Zone 2,2702 Aggravated Assault. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Zone 1,,1,,,,,
4051,1979738,16239447,24,F,B,2016-12-26T05:22:00,"5th AV & Darragh ST Pittsburgh, PA 15213",3925 Receiving Stolen Property. / 13(a)(31) Marijuana: Possession Small Amount,"5th AV & Darragh ST Pittsburgh, PA 15213",West Oakland,4,402,3,3,-79.96016504,40.44054656
4054,1979741,16240319,20,F,B,2016-12-29T15:23:00,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault.,"200 Block Suncrest ST Pittsburgh, PA 15210",Knoxville,3,3001,3,4,-79.99037609,40.41035674
1126,1975891,16172422,29,F,B,2016-09-12T10:41:00,"400 Block Orwell WY Pittsburgh, PA 15224",2701 Simple Assault.,"400 Block Orwell WY Pittsburgh, PA 15224",Bloomfield,5,802,7,2,-79.95224828,40.46164853
5517,1981490,17025794,27,F,B,2017-02-11T10:00:00,"Brainard ST & Paulson AV Pittsburgh, PA 15206",9501 Bench Warrant / 4914(A) False Identification to Law Enforcement,"700 Block Parker AV Braddock, PA 15104",Outside City,OSC,5599,,,-79.86660326,40.40285969
1144,1975917,16170744,23,F,B,2016-09-10T02:17:00,"1700 Block E Carson ST Pittsburgh, PA 15203",2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5502 Failure of Disorderly Persons to Disperse  / 5503 Disorderly Conduct.,"1700 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.98186901,40.4285852
1145,1975918,16170746,23,F,B,2016-09-10T02:12:00,"E Carson ST & S 18th ST Pittsburgh, PA 15203","5101 Obstructing Admin. of Law  / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 5507(a) Obstructing highway, railroad or public passage","E Carson ST & S 18th ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.98056196,40.42875859
