_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
5520,1981493,17023120,45,M,O,2017-02-12T16:04:00,"600 Block 1st AV Pittsburgh, PA 15219",3802(a)(1) DUI - General Impairment,"100 Block Owendale AV Pittsburgh, PA 15227",Carrick,3,2904,4,4,-79.97908793,40.38177566
1162,1975935,16170192,40,M,O,2016-09-09T12:30:00,"3600 Block Frazier ST Pittsburgh, PA 15213",9093 Indirect Criminal Contempt,"3600 Block Frazier ST Pittsburgh, PA 15213",South Oakland,4,409,3,3,-79.95554337,40.43051529
4123,1979820,16240911,33,M,O,2016-12-28T21:14:00,"10 Block Fern CIR Pittsburgh, PA 15224",9501 Bench Warrant,"10 Block Fern CIR Pittsburgh, PA 15224",Garfield,5,1016,9,2,-79.93726382,40.47208281
3999,1979650,16227263,14,M,O,2016-12-29T12:32:00,"600 Block 1ST AV PITTSBURGH, PA 15219",2701 Simple Assault.,"1400 Block CRUCIBLE ST PITTSBURGH, PA 15204",Crafton Heights,6,2814,2,5,-80.04968352,40.44859775
5648,1981676,17019399,29,M,O,2017-02-01T02:12:00,"2100 Block Arlington AV Pittsburgh, PA 15210",3323 Stop Signs and Yield Signs. / 1501(A) Valid Driver's License Required / 3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,"2100 Block Arlington AV Pittsburgh, PA 15210",Arlington,3,1603,3,4,-79.97728355,40.41767288
1978,1976979,16194734,22,M,O,2016-10-15T02:40:00,Zone 3,3714 Careless Driving / 3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%,Zone 3,,3,,,,,
4995,1980842,17015979,32,M,O,2017-01-26T17:05:00,"Bigelow SQ Pittsburgh, PA 15219",902 Criminal Solicitation. / 907 Possessing Instruments of Crime. / 5902(e) Patronizing a Prostitute,"Bigelow SQ Pittsburgh, PA 15219",Central Business District,2,201,6,6,-79.99440381,40.44078618
689,1974860,16152714,28,M,O,2016-08-16T15:36:00,"2600 Block Winchester DR Pittsburgh, PA 15220","2702 Aggravated Assault. / 2706 Terroristic Threats. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows","2600 Block Winchester DR Pittsburgh, PA 15220",Banksville,6,2023,2,5,-80.04413795,40.41196498
5318,1981262,17020250,10,M,O,2017-02-02T13:10:00,"600 Block 1ST AV PITTSBURGH, PA 15219",2702 Aggravated Assault. / 5503 Disorderly Conduct.,"2300 Block BRIGHTON RD PITTSBURGH, PA 15212",Marshall-Shadeland,1,2704,6,1,-80.02383854,40.46472734
1706,1976619,16185336,26,M,O,2016-10-01T04:50:00,"400 Block Crawford ST Pittsburgh, PA 15219",1501 Drivers Required to be Licensed. / 3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%,"400 Block Crawford ST Pittsburgh, PA 15219",Central Business District,2,201,6,3,-79.9871641,40.44274258
3823,1979426,16234652,63,M,O,2017-01-02T19:57:00,"600 Block 1st AV Pittsburgh, PA 15219",1786 Required Financial Responsibility. / 3743 Accidents Involving Damage to Attended Veh. or Property,"E Warrington AV & Saw Mill Run BL Pittsburgh, PA 15210",Homewood South,3,1304,4,5,-80.01129397,40.41505106
1910,1976892,16159859,22,M,O,2016-10-20T12:35:00,Zone 2,2902 Unlawful Restraint. / 3121 Rape. / 3125 Aggravated Indecent Assault. / 3126 Indecent Assault.,Zone 5,,5,,,,,
3653,1979217,16231213,35,M,O,2016-12-12T07:30:00,"Bigelow BL & Herron AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance / 3714 Careless Driving,"Bigelow BL & Herron AV Pittsburgh, PA 15219",Strip District,2,203,7,6,-79.96593987,40.45576815
3994,1979645,16170065,17,M,O,2016-12-28T12:50:00,"600 Block 1ST AV PITTSBURGH, PA 15219",13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"100 Block PARKFIELD AV PITTSBURGH, PA 15210",Carrick,3,2904,4,4,-79.98734141,40.39125233
5964,1982048,17030986,19,M,O,2017-02-19T13:40:00,"Vine ST & Foreside PL Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"Vine ST & Foreside PL Pittsburgh, PA 15219",Crawford-Roberts,2,305,6,3,-79.98445155,40.4406376
5788,1981837,15225142,20,M,O,2017-02-27T08:30:00,Zone 2,3743 Accidents Involving Damage to Attended Veh. or Property,Zone 4,,4,,,,,
2508,1977657,16204543,29,M,O,2016-10-30T01:50:00,"100 Block Oakland AV Pittsburgh, PA 15213","2706 Terroristic Threats. / 5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","100 Block Oakland AV Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.95784038,40.44214986
4131,1979828,16237740,40,M,O,2017-01-12T08:45:00,"600 Block 1st AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 3502 Burglary. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,"2800 Block Mary ST Pittsburgh, PA 15203",South Side Slopes,3,1608,3,4,-79.96837389,40.42421558
3124,1978506,16114976,53,M,O,2016-12-06T19:40:00,"600 Block 1st AV Pittsburgh, PA 15219",3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,"Pocussett ST & Phillips AV Pittsburgh, PA 15217",Squirrel Hill South,4,1413,5,3,-79.92987166,40.43072076
1990,1976991,16173419,18,M,O,2016-10-24T00:15:00,"900 Block 2nd AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 3701 Robbery.,"3100 Block Frederick ST Pittsburgh, PA 15212",Marshall-Shadeland,1,2715,1,1,-80.03077936,40.47338548
4186,1979896,17000625,29,M,O,2017-01-02T00:22:00,"500 Block Brookline BL Pittsburgh, PA 15226",2701 Simple Assault.,"2500 Block Wedgemere AV Pittsburgh, PA 15226",Brookline,6,1919,4,4,-80.02113483,40.39671564
2018,1977026,16086132,41,M,O,2016-11-01T09:00:00,"900 Block 2ND AV Pittsburgh, PA 15219",4101 Forgery.,"600 Block East End AV Pittsburgh, PA 15221",Regent Square,4,1410,9,3,-79.89667516,40.43955966
5133,1981021,16074803,17,M,O,2017-01-11T11:30:00,Zone 2,2702 Aggravated Assault. / 2902 Unlawful Restraint. / 3124.1 Sexual Assault / 3121(a)(1) Rape by forcible compulsion / 3126(a)(2) Indecent assault by forcible compulsion,Zone 2,,2,,,,,
4895,1980735,17015417,58,M,O,2017-01-25T18:30:00,"Middle ST & Foreland ST Pittsburgh, PA 15212",902 Criminal Solicitation. / 5902(e) Patronizing a Prostitute,"Middle ST & Foreland ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.99938941,40.45456873
1862,1976825,16021248,40,M,O,2016-10-19T13:30:00,"900 Block 2nd AV Pittsburgh, PA 15219","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","600 Block East End AV Pittsburgh, PA 15221",Regent Square,4,1410,9,3,-79.89667516,40.43955966
2166,1977233,16198555,18,M,O,2016-10-21T01:10:00,"1600 Block Smallman ST Pittsburgh, PA 15222",3503(b)(1)(i) Actual Communication,"1600 Block Smallman ST Pittsburgh, PA 15222",Strip District,2,203,7,6,-79.98764669,40.44956619
