_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
5690,1981719,17007364,0,M,W,2017-01-13T00:34:00,"100 Block 9th ST Pittsburgh, PA 15222",2701 Simple Assault. / 2702 Aggravated Assault. / 2706 Terroristic Threats. / 5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 5505 Public Drunkenness / 2709 Harassment (Non-Specific),"100 Block 9th ST Pittsburgh, PA 15222",Central Business District,2,201,6,6,-79.99905,40.44509999
846,1974783,16151805,0,M,W,2016-08-14T09:30:00,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault.,"1100 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.98731788,40.42856797
3947,1979596,16236406,0,M,W,2016-12-20T15:16:00,"2000 Block Wharton ST Pittsburgh, PA 15203",3929 Retail Theft.,"2000 Block Wharton ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.97681333,40.43002082
3995,1979646,16208072,0,M,B,2016-12-29T07:50:00,"600 Block 1ST AV PITTSBURGH, PA 15219",2701 Simple Assault.,"800 Block RECTENWALD ST PITTSBURGH, PA 15210",Mount Oliver,3,1607,3,4,-79.97940289,40.40856969
821,1975277,16155896,0,M,B,2016-09-05T23:46:00,"600 Block N Braddock AV Pittsburgh, PA 15208",5121 Escape. / 6106 Firearms not to be Carried without a License. / 1501 Drivers Required to be Licensed. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3543 Pedestrians Crossing at Other Than Crosswalks. / 4303 General Lighting Requirements. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"Frankstown AV & Wilkinsburg AV Pittsburgh, PA 15221",East Hills,5,1306,9,2,-79.87587882,40.45814745
831,1974625,16136006,0,M,B,2016-08-24T15:59:00,"900 Block Second AV Pittsburgh, PA 15219",4915 Failure to Comply with Megans Law,"7500 Block Bennett ST Pittsburgh, PA 15208",Homewood South,5,1304,9,2,-79.89220413,40.45527585
1257,1976041,16183396,10,M,W,2016-09-29T09:00:00,"600 Block 1ST AV PITTSBURGH, PA 15219","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","1200 Block MIFFLIN RD PITTSBURGH, PA 15207",Lincoln Place,4,3102,5,3,-79.91615023,40.37146767
3098,1978478,16211974,10,M,B,2016-11-10T13:45:00,"2900 Block SHERADEN BL PITTSBURGH, PA 15204",2702 Aggravated Assault. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"2900 Block SHERADEN BL PITTSBURGH, PA 15204",Sheraden,6,2018,2,5,-80.05405784,40.4533676
3721,1979292,16227133,10,M,U,2016-12-05T11:00:00,Zone 2,2702 Aggravated Assault.,Zone 4,,4,,,,,
5318,1981262,17020250,10,M,O,2017-02-02T13:10:00,"600 Block 1ST AV PITTSBURGH, PA 15219",2702 Aggravated Assault. / 5503 Disorderly Conduct.,"2300 Block BRIGHTON RD PITTSBURGH, PA 15212",Marshall-Shadeland,1,2704,6,1,-80.02383854,40.46472734
3496,1979021,16224741,10,M,B,2016-12-01T13:30:00,"CHARLES & KNOX AV PITTSBURGH, PA 15210","2702 Aggravated Assault. / 5503 Disorderly Conduct. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats","100 Block CHARLES ST PITTSBURGH, PA 15210",Mount Oliver,3,1607,3,4,-79.98815784,40.41659309
3100,1978480,16215109,10,M,B,2016-11-18T08:02:00,"600 Block 1ST AV PITTSBURGH, PA 15219","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","800 Block RECTENWALD ST PITTSBURGH, PA 15210",Mount Oliver,2,1607,3,4,-79.97940289,40.40856969
2063,1977084,16197566,10,M,B,2016-10-20T10:45:00,"600 Block 1ST AV PITTSBURGH, PA 15219",4905 False Alarms to Agencies of Public Safety. / 3304(a)(2) CRIMINAL MISCHIEF- Tamper With Property (So As To Endanger Person or Property) / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"800 Block RECTENWALD ST PITTSBURGH, PA 15210",Mount Oliver,3,1607,3,4,-79.97940289,40.40856969
