_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
6824,1983096,17049916,10,F,B,2017-03-21T15:05:00,"600 Block 1ST AV PITTSBURGH, PA 15219",2702 Aggravated Assault.,"200 Block 39TH ST PITTSBURGH, PA 15201",Lower Lawrenceville,2,603,7,2,-79.96377567,40.46750753
3308,1978750,16223431,27,F,W,2016-11-29T13:29:00,"6700 Block Frankstown AV Pittsburgh, PA 15208",1543 Driving While Operating Privilege is Suspended or Revoked. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"6700 Block Frankstown AV Pittsburgh, PA 15208",Homewood West,5,1207,9,2,-79.90800266,40.45860843
5503,1981476,17026090,37,F,W,2017-02-11T18:10:00,"800 Block Suismon ST Pittsburgh, PA 15212",9501 Bench Warrant,"800 Block Suismon ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.99735506,40.45581482
3106,1978486,16080748,11,F,B,2016-12-01T08:58:00,"600 Block 1ST AV PITTSBURGH, PA 15219",912 Possession of Weapon on School Property.,"6500 Block LILAC ST PITTSBURGH, PA 15217",Squirrel Hill South,4,1414,5,3,-79.92373308,40.42309123
2602,1977838,16216368,11,F,B,2016-11-17T10:00:00,"500 Block Marshall AV Pittsburgh, PA 15214",2702 Aggravated Assault.,"500 Block Marshall AV Pittsburgh, PA 15214",Perry South,1,2615,6,1,-80.01677284,40.47101228
4112,1979809,16233176,11,F,B,2016-12-20T15:08:00,"600 Block 1ST AV PITTSBURGH, PA 15219",2702 Aggravated Assault. / 2709(a)(4) Harassment Communicates Prohibited Acts / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"2300 Block BRIGHTON RD PITTSBURGH, PA 15212",Marshall-Shadeland,1,2704,6,1,-80.02383854,40.46472734
5508,1981481,17026286,21,F,W,2017-02-15T13:45:00,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,"1500 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.98330671,40.42868483
5509,1981482,17026286,21,F,W,2017-02-15T13:45:00,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,"1500 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.98330671,40.42868483
6603,1982818,17048105,59,F,W,2017-03-17T12:39:00,"1500 Block Wareman AV Pittsburgh, PA 15226",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,"1500 Block Wareman AV Pittsburgh, PA 15226",Brookline,6,1918,4,4,-80.01130468,40.38926089
1522,1976394,16182934,23,F,W,2016-09-27T17:30:00,"1700 Block Leolyn ST Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"1700 Block Leolyn ST Pittsburgh, PA 15210",Carrick,3,2902,4,4,-79.98608614,40.39897178
